[2014-04-29 16:23:03] EDIT KAT/views/default/index.html: 0
[2014-04-29 16:23:17] EDIT KAT/views/default/index.html: 0
[2014-04-29 16:24:01] EDIT KAT/views/default/index.html: 0
[2014-04-29 16:24:29] EDIT KAT/views/default/index.html: 0
[2014-04-29 16:25:53] EDIT KAT/views/default/index.html: 0
[2014-04-29 16:27:29] EDIT KAT/views/default/index.html: 0
[2014-04-29 16:27:54] EDIT KAT/views/default/index.html: 0
[2014-04-29 16:28:08] EDIT KAT/views/default/index.html: 0
[2014-04-29 16:29:21] EDIT KAT/views/default/index.html: -5
[2014-04-29 16:29:37] EDIT KAT/views/default/index.html: -1
[2014-04-29 16:30:05] EDIT KAT/views/default/index.html: 0
[2014-04-29 16:30:18] EDIT KAT/views/default/Test.html: 0
[2014-04-29 16:33:21] EDIT KAT/models/db.py: 0
[2014-04-29 16:33:57] EDIT KAT/models/menu.py: 0
[2014-04-29 16:44:40] EDIT KAT/models/db.py: 0
[2014-04-29 16:45:18] EDIT KAT/models/db.py: 0
[2014-04-29 16:45:57] EDIT KAT/controllers/default.py: 0
[2014-04-29 16:49:16] EDIT KAT/models/db.py: 0
[2014-04-29 16:49:29] EDIT KAT/models/db.py: 0
[2014-04-29 16:50:32] DELETE KAT/views/default/userProfile.html: -3
[2014-04-29 16:50:59] EDIT KAT/controllers/default.py: 0
[2014-04-29 16:51:16] CREATE user/default/profile.html: 0
[2014-04-29 16:51:21] EDIT KAT/views/user/default/profile.html: 0
[2014-04-29 16:51:47] DELETE KAT/views/user/default/profile.html: -3
[2014-04-29 16:59:09] EDIT KAT/controllers/default.py: 11
[2014-04-29 16:59:20] CREATE default/list_users.py: 0
[2014-04-29 16:59:55] EDIT KAT/models/default/list_users.py: 0
[2014-04-29 17:00:15] CREATE default/list_users.html: 0
[2014-04-29 17:01:11] DELETE KAT/models/default/list_users.py: 0
[2014-04-29 17:02:07] EDIT KAT/models/db.py: -4
[2014-04-29 17:03:03] EDIT KAT/views/default/list_users.html: 0
[2014-04-29 17:03:21] EDIT KAT/views/default/list_users.html: 0
[2014-04-29 17:04:44] EDIT KAT/controllers/default.py: 8
[2014-04-29 17:05:11] CREATE default/manage_user.py: 0
[2014-04-29 17:05:15] CREATE default/manage_user.html: 0
[2014-04-29 17:07:07] DELETE KAT/models/default/manage_user.py: 0
[2014-04-29 17:15:42] EDIT KAT/controllers/default.py: 13
[2014-04-29 17:16:27] EDIT KAT/views/default/manage_user.html: 2
[2014-04-29 17:20:30] EDIT KAT/models/db.py: 0
[2014-04-29 17:25:52] EDIT KAT/models/db.py: 2
[2014-04-29 17:28:36] EDIT KAT/views/default/index.html: 0
[2014-04-29 17:36:39] EDIT KAT/models/db.py: 1
[2014-04-29 17:37:53] EDIT KAT/views/default/manage_user.html: 0
[2014-04-29 17:46:50] EDIT KAT/models/db.py: -5
[2014-04-29 17:47:41] EDIT KAT/controllers/default.py: -4
[2014-04-29 17:51:41] EDIT KAT/models/db.py: 0
[2014-04-29 17:53:09] EDIT KAT/models/db.py: 0
[2014-04-29 17:57:20] EDIT KAT/models/db.py: 2
[2014-04-29 17:58:11] EDIT KAT/models/db.py: 0
[2014-04-29 17:58:46] EDIT KAT/models/db.py: 0
[2014-04-29 17:58:52] EDIT KAT/views/default/user.html: 0
[2014-04-29 17:59:21] EDIT KAT/models/db.py: -2
[2014-04-29 18:04:10] DELETE KAT/views/default/allRecords.html: -8
[2014-04-29 18:24:27] EDIT KAT/controllers/default.py: 5
[2014-04-29 18:26:55] EDIT KAT/controllers/default.py: 0
[2014-04-29 18:27:11] EDIT KAT/controllers/default.py: 0
[2014-04-29 18:33:43] EDIT KAT/controllers/default.py: -4
[2014-04-29 18:37:50] EDIT KAT/controllers/default.py: 1
[2014-04-29 18:40:46] EDIT KAT/controllers/default.py: 0
[2014-04-29 18:40:55] EDIT KAT/controllers/default.py: 0
[2014-04-29 18:43:47] EDIT KAT/controllers/default.py: 0
[2014-04-29 18:45:58] EDIT KAT/controllers/default.py: -2
[2014-04-29 19:05:11] EDIT KAT/models/db.py: 1
[2014-04-29 19:08:08] EDIT KAT/controllers/default.py: 5
[2014-04-29 19:11:28] EDIT KAT/controllers/default.py: -5
[2014-04-29 19:11:42] EDIT KAT/controllers/default.py: 0
[2014-04-29 19:15:38] EDIT KAT/views/default/index.html: 0
[2014-04-29 19:16:26] EDIT KAT/views/default/index.html: 0
[2014-04-29 19:17:05] EDIT KAT/views/default/index.html: 0
[2014-04-29 19:25:21] EDIT KAT/views/default/list_users.html: 0
[2014-04-29 19:25:28] EDIT KAT/views/default/manage_user.html: 0
[2014-04-29 19:36:44] EDIT KAT/views/default/list_users.html: 0
[2014-04-29 19:37:06] EDIT KAT/views/default/manage_user.html: 0
[2014-04-29 19:52:53] EDIT KAT/controllers/default.py: 0
[2014-04-29 19:53:34] EDIT KAT/controllers/default.py: 0
[2014-04-29 19:55:55] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:05:39] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:05:49] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:08:18] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:09:16] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:12:58] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:16:33] EDIT KAT/controllers/default.py: 3
[2014-04-29 20:16:43] CREATE default/sample.html: 0
[2014-04-29 20:17:18] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:19:34] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:33:26] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:34:23] EDIT KAT/controllers/default.py: 1
[2014-04-29 20:35:32] EDIT KAT/controllers/default.py: 4
[2014-04-29 20:36:07] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:37:04] EDIT KAT/controllers/default.py: 1
[2014-04-29 20:39:32] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:40:02] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:44:16] EDIT KAT/controllers/default.py: -5
[2014-04-29 20:45:08] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:45:52] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:46:42] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:46:56] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:48:29] EDIT KAT/controllers/default.py: 1
[2014-04-29 20:49:22] EDIT KAT/controllers/default.py: -1
[2014-04-29 20:50:34] EDIT KAT/controllers/default.py: 3
[2014-04-29 20:50:47] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:51:11] CREATE admin_membership.html: 0
[2014-04-29 20:51:49] DELETE KAT/views/admin_membership.html: -3
[2014-04-29 20:52:04] CREATE default/admin_membership.html: 0
[2014-04-29 20:52:12] CREATE default/admin_user.html: 0
[2014-04-29 20:52:42] EDIT KAT/views/default/admin_user.html: 0
[2014-04-29 20:52:53] EDIT KAT/views/default/admin_membership.html: 0
[2014-04-29 20:53:30] CREATE default/admin.html: 0
[2014-04-29 20:54:16] EDIT KAT/controllers/default.py: 2
[2014-04-29 20:55:22] EDIT KAT/views/default/admin.html: 0
[2014-04-29 20:56:43] EDIT KAT/views/default/admin.html: 4
[2014-04-29 20:57:03] EDIT KAT/views/default/index.html: 0
[2014-04-29 20:58:42] EDIT KAT/controllers/default.py: 0
[2014-04-29 20:59:02] EDIT KAT/views/default/admin.html: 0
[2014-04-29 20:59:10] EDIT KAT/views/default/Test.html: 0
[2014-04-29 20:59:22] EDIT KAT/views/default/admin.html: 0
[2014-04-29 21:03:42] EDIT KAT/controllers/default.py: 2
[2014-04-29 21:11:07] EDIT KAT/models/db.py: 4
[2014-04-29 21:12:05] EDIT KAT/models/db.py: -3
[2014-04-29 21:12:14] EDIT KAT/controllers/default.py: 3
[2014-04-29 21:13:26] EDIT KAT/controllers/default.py: 6
[2014-04-29 21:14:26] EDIT KAT/models/db.py: 4
[2014-04-29 21:14:50] EDIT KAT/models/db.py: -1
